nome;sigla;municipio;id_uf;uf
CENTRO UNIVERSITÁRIO METROPOLITANO DE SÃO PAULO;UNIMESP;Guarulhos;35;SP
CENTRO UNIVERSITÁRIO DE VOLTA REDONDA;UNIFOA;Volta Redonda;33;RJ
CENTRO DE ENSINO SUPERIOR DE VALENÇA;CESVA;Valença;33;RJ
FACULDADE DE EDUCAÇÃO CIÊNCIAS E LETRAS DON DOMÊNICO;FECLE;Guarujá;35;SP
FACULDADE DE ADMINISTRAÇÃO CIÊNCIAS ECON E CONTÁBEIS DE GUARATINGUETÁ;FACEAG;Guaratinguetá;35;SP
FACULDADE DE EDUCAÇÃO DE GUARATINGUETÁ;FACEG;Guaratinguetá;35;SP
UNIVERSIDADE DO SUL DE SANTA CATARINA;UNISUL;Tubarão;42;SC
FACULDADE DE CIÊNCIAS E LETRAS DE BRAGANÇA PAULISTA;FESB;Bragança Paulista;35;SP
UNIVERSIDADE DE FRANCA;UNIFRAN;Franca;35;SP
ESCOLA SUPERIOR DE CIÊNCIAS DA SANTA CASA DE MISERICÓRDIA DE VITÓRIA;EMESCAM;Vitória;32;ES
CENTRO UNIVERSITÁRIO MONTE SERRAT;UNIMONTE;Santos;35;SP
FACULDADE DE MEDICINA DE CAMPOS;FMC;Campos dos Goytacazes;33;RJ
FACULDADE TRIÂNGULO MINEIRO;FTM;Ituiutaba;31;MG
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DO SUL DE MINAS - FACESM;FACESM;Itajubá;31;MG
ESCOLA DE ENFERMAGEM WENCESLAU BRAZ;EEWB;Itajubá;31;MG
UNIVERSIDADE VALE DO RIO DOCE;UNIVALE;Governador Valadares;31;MG
CENTRO UNIVERSITÁRIO DE BARRA MANSA;UBM;Barra Mansa;33;RJ
CENTRO UNIVERSITÁRIO ANHANGUERA DE NITERÓI;UNIAN;Niterói;33;RJ
CENTRO UNIVERSITÁRIO MOACYR SREDER BASTOS;UNIMSB;Rio de Janeiro;33;RJ
FACULDADE DE EDUCAÇÃO SÃO LUÍS;FESL;Jaboticabal;35;SP
CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL;UDF;Brasília;53;DF
UNIVERSIDADE CATÓLICA DO SALVADOR;UCSAL;Salvador;29;BA
UNIVERSIDADE DE MOGI DAS CRUZES;UMC;Mogi das Cruzes;35;SP
CENTRO UNIVERSITÁRIO CELSO LISBOA;UCL;Rio de Janeiro;33;RJ
UNIVERSIDADE BRAZ CUBAS;UBC;Mogi das Cruzes;35;SP
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS;PUC GOIÁS;Goiânia;52;GO
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO;PUC-RIO;Rio de Janeiro;33;RJ
FACULDADE DE MÚSICA DO ESPÍRITO SANTO;FAMES;Vitória;32;ES
UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL;UNIJUI;Ijuí;43;RS
FACULDADES INTEGRADAS DE ITAPETININGA;FII;Itapetininga;35;SP
ESCOLA BAHIANA DE MEDICINA E SAÚDE PÚBLICA;EBMSP;Salvador;29;BA
CENTRO UNIVERSITÁRIO DE MANDAGUARI - UNIMAN;FAFIMAN;Mandaguari;41;PR
FACULDADE DE CIÊNCIAS DA FUNDAÇÃO INSTITUTO TECNOLÓGICO DE OSASCO;FAC-FITO;Osasco;35;SP
FACULDADE DE CIÊNCIAS HUMANAS DE ITABIRA;FACHI;Itabira;31;MG
FACULDADE DE CIÊNCIAS ADMINISTRATIVAS E CONTÁBEIS DE ITABIRA;FACCI;Itabira;31;MG
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO;PUCSP;São Paulo;35;SP
UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;UERJ;Rio de Janeiro;33;RJ
UNIVERSIDADE FEDERAL DO MARANHÃO;UFMA;São Luís;21;MA
UNIVERSIDADE FEDERAL DO ACRE;UFAC;Rio Branco;12;AC
UNIVERSIDADE ESTADUAL DA PARAÍBA;UEPB;Campina Grande;25;PB
FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE BOA ESPERANÇA;FAFIBE;Boa Esperança;31;MG
UNIVERSIDADE DE FORTALEZA;UNIFOR;Fortaleza;23;CE
UNIVERSIDADE ESTADUAL DO MARANHÃO;UEMA;São Luís;21;MA
UNIVERSIDADE FEDERAL DO PARÁ;UFPA;Belém;15;PA
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;UFRN;Natal;24;RN
UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;Curitiba;41;PR
UNIVERSIDADE FEDERAL FLUMINENSE;UFF;Niterói;33;RJ
UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO;UFES;Vitória;32;ES
UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO;UFRRJ;Seropédica;33;RJ
UNIVERSIDADE FEDERAL DE MINAS GERAIS;UFMG;Belo Horizonte;31;MG
UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF;Juiz de Fora;31;MG
UNIVERSIDADE FEDERAL DE ALAGOAS;UFAL;Maceió;27;AL
UNIVERSIDADE FEDERAL DA BAHIA;UFBA;Salvador;29;BA
UNIVERSIDADE FEDERAL DA PARAÍBA;UFPB;João Pessoa;25;PB
UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;Recife;26;PE
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UFRGS;Porto Alegre;43;RS
UNIVERSIDADE FEDERAL DE SANTA MARIA;UFSM;Santa Maria;43;RS
UNIVERSIDADE FEDERAL DO CEARÁ;UFC;Fortaleza;23;CE
UNIVERSIDADE FEDERAL DE GOIÁS;UFG;Goiânia;52;GO
UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC;Florianópolis;42;SC
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;UFRJ;Rio de Janeiro;33;RJ
UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;UFRPE;Recife;26;PE
UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ;UTFPR;Curitiba;41;PR
UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO;UFERSA;Mossoró;24;RN
UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA;UFRA;Belém;15;PA
UNIVERSIDADE FEDERAL DE SÃO PAULO;UNIFESP;São Paulo;35;SP
UNIVERSIDADE FEDERAL DE LAVRAS;UFLA;Lavras;31;MG
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA;CEFET/RJ;Rio de Janeiro;33;RJ
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;CEFET/MG;Belo Horizonte;31;MG
UNIVERSIDADE FEDERAL DE ALFENAS;UNIFAL-MG;Alfenas;31;MG
UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI;UFVJM;Diamantina;31;MG
UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO;UFTM;Uberaba;31;MG
UNIVERSIDADE FEDERAL DE ITAJUBÁ - UNIFEI;UNIFEI;Itajubá;31;MG
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA;IFBA;Salvador;29;BA
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO;IFMA;São Luís;21;MA
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL;IFRS;Bento Gonçalves;43;RS
INSTITUTO TECNOLÓGICO DE AERONÁUTICA;ITA;São José dos Campos;35;SP
UNIVERSIDADE MUNICIPAL DE SÃO CAETANO DO SUL;USCS;São Caetano do Sul;35;SP
FACULDADE DE DIREITO DE CACHOEIRO DO ITAPEMIRIM;FDCI;Cachoeiro de Itapemirim;32;ES
FACULDADE DE CIÊNCIAS CONTÁBEIS E ADMINISTRATIVAS DE CACHOEIRO DO ITAPEMIRIM;FACCACI;Cachoeiro de Itapemirim;32;ES
UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ;UNIOESTE;Cascavel;41;PR
CENTRO UNIVERSITÁRIO METODISTA BENNETT;BENNETT;Rio de Janeiro;33;RJ
CENTRO UNIVERSITÁRIO CESMAC;CESMAC;Maceió;27;AL
FACULDADES INTEGRADAS SILVA E SOUZA;FAU;Rio de Janeiro;33;RJ
FACULDADE CENECISTA DE CAPIVARI;FACECAP;Capivari;35;SP
FACULDADE CENECISTA DE OSÓRIO;FACOS;Osório;43;RS
FACULDADE CENECISTA DE VARGINHA;FACECA;Varginha;31;MG
FACULDADE CNEC FARROUPILHA;;Farroupilha;43;RS
INSTITUTO MILITAR DE ENGENHARIA;IME;Rio de Janeiro;33;RJ
UNIVERSIDADE FEDERAL DE PELOTAS;UFPEL;Pelotas;43;RS
ESCOLA SUPERIOR DE PROPAGANDA E MARKETING;ESPM;São Paulo;35;SP
FACULDADE DE ENGENHARIA SÃO PAULO;FESP;São Paulo;35;SP
FACULDADE DE DIREITO MILTON CAMPOS;FDMC;Nova Lima;31;MG
FACULDADES INTEGRADAS MARIA THEREZA;FAMATH;Niterói;33;RJ
CENTRO UNIVERSITÁRIO LA SALLE;UNILASALLE;Canoas;43;RS
Centro Universitário - Católica de Santa Catarina em Jaraguá do Sul;Católica em Jaraguá;Jaraguá do Sul;42;SC
FACULDADE DE ENFERMAGEM LUIZA DE MARILLAC;FELM;Rio de Janeiro;33;RJ
FACULDADES ASSOCIADAS DE UBERABA - FAZU;FAZU;Uberaba;31;MG
CENTRO UNIVERSITÁRIO DE UNIÃO DA VITÓRIA;UNIUV;União da Vitória;41;PR
FACULDADE DE CIÊNCIAS CONTÁBEIS E ADMINISTRATIVAS DE AVARÉ;IESA/FACCAA;Avaré;35;SP
FACULDADE DE ADMINISTRAÇÃO DE GOVERNADOR VALADARES;FAGV;Governador Valadares;31;MG
FACULDADE SANTA CECÍLIA;FASC;Pindamonhangaba;35;SP
FACULDADE DE FORMAÇÃO DE PROFESSORES DE SERRA TALHADA;FAFOPST;Serra Talhada;26;PE
FACULDADE PIO DÉCIMO;FPD;Aracaju;28;SE
FACULDADES INTEGRADAS CORAÇÃO DE JESUS;FAINC;Santo André;35;SP
UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Cuiabá;51;MT
UNIVERSIDADE DE BRASÍLIA;UNB;Brasília;53;DF
UNIVERSIDADE FEDERAL DE SERGIPE;UFS;São Cristóvão;28;SE
UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Manaus;13;AM
UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Teresina;22;PI
UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;Ouro Preto;31;MG
UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;São Carlos;35;SP
UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;Viçosa;31;MG
UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Londrina;41;PR
